pkt_size,ip_len,ttl,ip_proto,frag_offset,is_fragment,src_port,dst_port,udp_len,gtp_teid,gtp_type,gtp_seq,payload_len,payload_entropy,has_gtp,pkt_rate,byte_rate,inter_arrival,label
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.35028600692749023,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0014209747314453125,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0508880615234375,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.16438889503479004,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.0062351226806640625,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.528338966881792,0,0,0,0.005959033966064453,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.002894878387451172,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,9.5367431640625e-07,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.05245804786682129,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0019969940185546875,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.9317290782928467,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.226474118254377,0,0,0,0.004731893539428711,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.02242422103881836,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.04847288131713867,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.002073049545288086,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.00011396408081054688,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.550215659027424,0,0,0,0.2250990867614746,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0025207996368408203,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.04347801208496094,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.001873016357421875,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.6506311893463135,0
142,128,64,17,0,0,2152,2152,108,0,0,0,56,5.262188403968662,0,0,0,0.0033478736877441406,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.3264639377593994,0
118,104,64,17,0,0,2152,2152,84,0,0,0,0,0.0,0,0,0,0.04537796974182129,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.002000093460083008,0
183,169,64,17,0,0,2152,2152,149,0,0,0,73,4.712448237894204,0,0,0,0.0,0
883,869,64,17,0,0,2152,2152,849,0,0,0,773,5.570209208629291,0,0,0,0.22773194313049316,0
110,96,64,17,0,0,2152,2152,76,0,0,0,0,0.0,0,0,0,0.0021910667419433594,0
